id,name,path_with_namespace,html_url,description,stars,forks,updated_at
4368151,chromium_third_party_freetype,OpenHarmony-TPC / chromium_third_party_freetype,https://gitcode.com/openharmony-tpc/chromium_third_party_freetype,FreeType字体库,0,7,2025-02-17T14:26:28.321+08:00
4368142,chromium_third_party_libFuzzer,OpenHarmony-TPC / chromium_third_party_libFuzzer,https://gitcode.com/openharmony-tpc/chromium_third_party_libFuzzer,libFuzzer测试,0,4,2025-02-17T14:26:15.075+08:00
4368134,chromium_third_party_webgl,OpenHarmony-TPC / chromium_third_party_webgl,https://gitcode.com/openharmony-tpc/chromium_third_party_webgl,第三方软件webgl,0,5,2025-02-17T14:26:01.088+08:00
4368124,chromium_third_party_cast_core,OpenHarmony-TPC / chromium_third_party_cast_core,https://gitcode.com/openharmony-tpc/chromium_third_party_cast_core,第三方软件cast_core,0,4,2025-02-17T14:25:44.261+08:00
4368117,chromium_third_party_netty4,OpenHarmony-TPC / chromium_third_party_netty4,https://gitcode.com/openharmony-tpc/chromium_third_party_netty4,第三方软件netty4,0,4,2025-02-17T14:25:30.727+08:00
4368107,chromium_third_party_freetype_testing,OpenHarmony-TPC / chromium_third_party_freetype_testing,https://gitcode.com/openharmony-tpc/chromium_third_party_freetype_testing,FreeType字体库测试,0,4,2025-02-17T14:25:17.366+08:00
4368103,chromium_third_party_libgav1,OpenHarmony-TPC / chromium_third_party_libgav1,https://gitcode.com/openharmony-tpc/chromium_third_party_libgav1,第三方软件libgav1,0,6,2025-02-17T14:25:03.797+08:00
4368097,chromium_third_party_webgpu_cts,OpenHarmony-TPC / chromium_third_party_webgpu_cts,https://gitcode.com/openharmony-tpc/chromium_third_party_webgpu_cts,第三方软件webgpu-cts,0,5,2025-02-17T14:24:50.195+08:00
4368091,chromium_third_party_catapult,OpenHarmony-TPC / chromium_third_party_catapult,https://gitcode.com/openharmony-tpc/chromium_third_party_catapult,Catapult 是Chrome/Chromium/Chromium OS所使用的一系列性能工具的组合,1,6,2025-02-17T14:24:36.473+08:00
4368083,chromium_third_party_netty_tcnative,OpenHarmony-TPC / chromium_third_party_netty_tcnative,https://gitcode.com/openharmony-tpc/chromium_third_party_netty_tcnative,第三方软件netty-tcnative,0,4,2025-02-17T14:24:18.662+08:00
4368076,chromium_third_party_gemmlowp,OpenHarmony-TPC / chromium_third_party_gemmlowp,https://gitcode.com/openharmony-tpc/chromium_third_party_gemmlowp,第三方软件gemmlowp,0,4,2025-02-17T14:24:05.669+08:00
4368068,chromium_third_party_libgifcodec,OpenHarmony-TPC / chromium_third_party_libgifcodec,https://gitcode.com/openharmony-tpc/chromium_third_party_libgifcodec,第三方软件libgifcodec,0,2,2025-02-17T14:23:52.236+08:00
4368058,chromium_third_party_webrtc,OpenHarmony-TPC / chromium_third_party_webrtc,https://gitcode.com/openharmony-tpc/chromium_third_party_webrtc,第三方软件webrtc,0,11,2025-06-11T10:11:38.958+08:00
